id,assignment_id,student,owner_id,helped_fix,improved_understanding,comment,first_score,final_score,attempt_count,improvement,created_at
1,1,name1,1,2,1,,0.314286,1,10,0.6857139999999999,2025-01-08 08:52:45.937841+00
2,1,name2,1,5,4,"Its a nice grading system! Maybe making the mistakes made tab, a bit bigger and more clear.",0.314286,1,3,0.6857139999999999,2025-01-08 10:06:17.234412+00
3,1,name3,1,4,4,,0.057143,1,4,0.9428570000000001,2025-01-08 11:11:04.761419+00
4,1,name4,1,3,3,,1,1,3,0,2025-01-08 13:45:58.007238+00
5,1,name5,1,5,3,,0.314286,1,2,0.6857139999999999,2025-01-08 14:15:57.702227+00
6,1,name6,1,4,3,,0.314286,1,3,0.6857139999999999,2025-01-08 15:51:47.198670+00
7,1,name7,1,2,3,,1,1,2,0,2025-01-09 06:12:30.978423+00
8,1,name8,1,2,2,,0.428571,0.428571,4,0,2025-01-09 06:59:13.167907+00
9,1,name9,1,4,4,,,0,0,,2025-01-09 07:20:05.334962+00
10,1,name10,1,3,3,,,0.057143,0,,2025-01-09 07:27:54.580666+00
11,1,name11,1,5,4,,0.314286,1,3,0.6857139999999999,2025-01-09 07:40:52.111083+00
12,1,name12,1,4,4,,0.485714,1,2,0.514286,2025-01-09 07:41:09.936650+00
13,1,name13,1,5,5,,0.314286,1,7,0.6857139999999999,2025-01-09 08:03:22.016901+00
14,1,name14,1,5,5,,0,1,3,1,2025-01-09 08:04:18.866385+00
15,1,name15,1,4,2,,0,1,4,1,2025-01-09 08:10:22.383512+00
16,1,name16,1,5,5,,0.057143,1,3,0.9428570000000001,2025-01-09 08:21:14.514778+00
17,1,name17,1,4,4,,0,1,7,1,2025-01-09 08:22:04.503578+00
18,1,name18,1,1,1,,0,0,2,0,2025-01-09 08:22:36.420072+00
19,1,name19,1,4,2,,0.371429,1,7,0.628571,2025-01-09 08:23:26.917607+00
20,1,name20,1,4,4,,1,1,1,0,2025-01-09 08:24:31.708234+00
21,1,name21,1,2,2,,0.314286,0.314286,10,0,2025-01-09 08:25:04.748747+00
22,1,name22,1,1,1,"The feedback was not useful, why do we only get 10 attempts and why do we not get to see our output",0,1,7,1,2025-01-09 08:26:45.528629+00
23,1,name23,1,4,3,,0.428571,1,2,0.571429,2025-01-09 08:29:56.545963+00
24,1,name24,1,4,5,,0.314286,1,6,0.6857139999999999,2025-01-09 08:30:14.903836+00
25,1,name25,1,1,1,,,1,0,,2025-01-09 08:37:07.255806+00
26,1,name26,1,3,3,"quite clear, only the AND I had to ask.",0.371429,1,5,0.628571,2025-01-09 08:38:13.804441+00
27,1,name27,1,5,3,,0.371429,1,7,0.628571,2025-01-09 08:38:44.426195+00
28,1,name28,1,5,5,,0.314286,1,3,0.6857139999999999,2025-01-09 08:42:14.690068+00
29,1,name29,1,3,3,,0.314286,1,4,0.6857139999999999,2025-01-09 08:49:00.332566+00
30,1,name30,1,5,5,,0.428571,1,4,0.571429,2025-01-09 08:56:44.798450+00
31,1,name31,1,3,2,,0,0.485714,8,0.485714,2025-01-09 09:02:30.916488+00
32,1,name32,1,4,4,,0.314286,1,3,0.6857139999999999,2025-01-09 09:04:52.244137+00
33,1,name33,1,5,5,I like it,0,1,6,1,2025-01-09 09:12:56.044401+00
34,1,name34,1,4,4,,0,1,3,1,2025-01-09 09:12:58.883303+00
35,1,name35,1,5,5,,0.428571,1,2,0.571429,2025-01-09 09:28:41.309989+00
36,1,name36,1,4,4,,0,1,5,1,2025-01-09 09:51:13.929582+00
37,1,name37,1,4,2,,0.314286,1,6,0.6857139999999999,2025-01-09 10:06:56.074423+00
38,1,name38,1,3,3,,1,1,2,0,2025-01-09 11:36:42.715110+00
39,1,name39,1,4,4,"trying different queries in duckdb and using the info of the lecture powerpoint helped a lot 
",0.057143,1,6,0.9428570000000001,2025-01-09 11:53:27.801443+00
40,1,name40,1,4,3,,0.371429,1,3,0.628571,2025-01-09 11:54:43.686906+00
41,1,name41,1,1,1,.,1,1,2,0,2025-01-09 12:05:21.752187+00
42,1,name42,1,5,5,,,0,0,,2025-01-09 12:54:09.143082+00
