Org Defined ID,Username,FirstName,LastName,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,1,SA,,"Consider the following 2 transactions T1 and T2, which have read and write statements in a given execution order:     T1 : read1(x);  read1(y);  write1(x);  write1(y).    T2 : read2(x);  write2(x). Each read and write statement corresponds with an SQL SELECT or UPDATE statement, where x and y correspond to data items (in this case books with a certain ISBN number, i.e., the following queries on the table Book.     read1(x)  = SELECT title FROM Book WHERE isbn = '0136067018';    read1(y)  = SELECT title FROM Book WHERE isbn = '0321228383';    write1(x) = UPDATE Book SET title = title || ' part 1' WHERE isbn = '0136067018';    write1(y) = UPDATE Book SET title = title || ' part 1' WHERE isbn = '0321228383';     read2(x)  = SELECT title FROM Book WHERE isbn = ' 0136067018';    write2(x) = UPDATE Book SET title = title || ' part 2' WHERE isbn = ' 0136067018'; Question: Give an execution order of the read and write operations that is not serializable.",False,1,,read1(x); read1(y); read2(x); write2(x); write1(x); write1(y).,1,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,2,SA,,"Given that same transactions T1 and T2 as above, but now we explicitly add a commit statement for each transaction.     T1 : read1(x);  read1(y);  write1(x);  write1(y);  commit1(x,y)    T2 : read2(x);  write2(x);  commit2(x) Question: Give an execution order such that T2 does a dirty read.",False,1,,"read1(x); read1(y); write1(x); write1(y); read2(x); write2(x); commit2(x); commit1(x,y).",1,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,3,MC,,"We want to prevent dirty reads by transaction T1, and we want to put minimal constraints on the concurrent execution of transactions T1 and T2. What isolation level(s) do we need for T1 and/or T2?",False,1,T1: Serializable and T2 Read Committed,UnChecked,0,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,3,MC,,"We want to prevent dirty reads by transaction T1, and we want to put minimal constraints on the concurrent execution of transactions T1 and T2. What isolation level(s) do we need for T1 and/or T2?",False,1,T1 Read Committed; T2 Read Uncommitted,UnChecked,0,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,3,MC,,"We want to prevent dirty reads by transaction T1, and we want to put minimal constraints on the concurrent execution of transactions T1 and T2. What isolation level(s) do we need for T1 and/or T2?",False,1,T1: Serializable and T2 Read Uncommitted,UnChecked,0,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,3,MC,,"We want to prevent dirty reads by transaction T1, and we want to put minimal constraints on the concurrent execution of transactions T1 and T2. What isolation level(s) do we need for T1 and/or T2?",False,1,T1: Read Committed and T2 Read Committed,Checked,0,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,4,WR,,"Preparation Download the database genealogy2021-10-19.sql, which has the following relational schema:     Scientist(id, name, university, year)    Teaches(advisor, student) In this schema, primary keys are underlined. The attributes advisor and student are foreign keys both referencing id in Scientist. The data was downloaded from the Mathematics Genealogy Project (https://www.genealogy.math.ndsu.nodak.edu/). We will reason about the data as an academic ""family"" tree where a scientist is a parent of the scientists (the children) they advised and taught during their career. Similarly, we may talk about a scientist's ancestors and descendants. Question Write an SQL query that selects (id, name, university, year) of all scientists that defended their PhD thesis at the 'Radboud Universiteit Nijmegen'  (Please note that the database uses the local, Dutch, spelling).  ",False,1,"SELECT id, name, university, year FROM Scientist WHERE university = 'Radboud Universiteit Nijmegen';",,0,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,5,WR,,"Write an SQL query that selects (id, name, university, year) of all scientists that graduated from any university in Nijmegen, e.g. select universities that contain the string 'Nijmegen'.",False,1,"SELECT id, name, university, year FROM Scientist WHERE university LIKE '%Nijmegen%';",,0,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,6,WR,,"Give the SQL query that selects for each scientist their name, and the number of students they supervised, ordered descending by that count.",False,1,"SELECT name, COUNT(student) FROM Scientist, Teaches WHERE Teaches.advisor = Scientist.id GROUP BY name ORDER BY COUNT(student) DESC;",,0,1
1,1,firstname1,lastname1,1,05-12-2023 17:09,05-12-2023 18:23,,7,WR,,"Give the query that selects (id, name, university and year) of the advisor(s) of 'Desiderius Erasmus'",False,1,"SELECT id, name, university, year FROM Scientist, Teaches WHERE Teaches.advisor = Scientist.id AND Teaches.student = (SELECT id FROM Scientist WHERE name = 'Desiderius Erasmus');",,0,1
