Org Defined ID,Username,FirstName,LastName,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of,Feedback
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,1,MC,,"(Make sure you read the preparation on the quiz title page) Given the following relational schema of a university's database (primary keys are underlined):     Teacher(teacher_id, name)    Theme(theme_id, teacher_id, name) Choose the conceptual model that best models the data. The solutions use the ORM shorthand notation without bridge types and label types (and standard name between brackets). You may assume that in the conceptual schema, Teacher and Theme both have a name.",FALSE,1,,UnChecked,0,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,1,MC,,"(Make sure you read the preparation on the quiz title page) Given the following relational schema of a university's database (primary keys are underlined):     Teacher(teacher_id, name)    Theme(theme_id, teacher_id, name) Choose the conceptual model that best models the data. The solutions use the ORM shorthand notation without bridge types and label types (and standard name between brackets). You may assume that in the conceptual schema, Teacher and Theme both have a name.",FALSE,1,,UnChecked,0,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,1,MC,,"(Make sure you read the preparation on the quiz title page) Given the following relational schema of a university's database (primary keys are underlined):     Teacher(teacher_id, name)    Theme(theme_id, teacher_id, name) Choose the conceptual model that best models the data. The solutions use the ORM shorthand notation without bridge types and label types (and standard name between brackets). You may assume that in the conceptual schema, Teacher and Theme both have a name.",FALSE,1,,Checked,0,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,1,MC,,"(Make sure you read the preparation on the quiz title page) Given the following relational schema of a university's database (primary keys are underlined):     Teacher(teacher_id, name)    Theme(theme_id, teacher_id, name) Choose the conceptual model that best models the data. The solutions use the ORM shorthand notation without bridge types and label types (and standard name between brackets). You may assume that in the conceptual schema, Teacher and Theme both have a name.",FALSE,1,,UnChecked,0,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,2,MC,,Given the following database which is an instance of the schema of Question 1: Table Teacher:  Table Theme:  How many attributes and tuples does the relation Theme have?,FALSE,1,3 attributes and 3 tuples,UnChecked,1,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,2,MC,,Given the following database which is an instance of the schema of Question 1: Table Teacher:  Table Theme:  How many attributes and tuples does the relation Theme have?,FALSE,1,3 attributes and 4 tuples,Checked,1,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,2,MC,,Given the following database which is an instance of the schema of Question 1: Table Teacher:  Table Theme:  How many attributes and tuples does the relation Theme have?,FALSE,1,4 attributes and 3 tuples,UnChecked,1,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,2,MC,,Given the following database which is an instance of the schema of Question 1: Table Teacher:  Table Theme:  How many attributes and tuples does the relation Theme have?,FALSE,1,4 attributes and 4 tuples,UnChecked,1,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,3,SA,,"In a relational database table, the order of rows and the order of columns is not important. How many different ways (considering orders of attributes and tuples) are there to represent the relation Teacher of the question above?",FALSE,1,,4,1,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,4,SA,,How many different ways (considering orders of attributes and tuples) are there to represent the relation Theme of the question above?,FALSE,1,,144,1,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,5,MC,,"The database administrator (DBA) executes the following SQL commands:     CREATE TABLE Teacher(teacher_id INT, name VARCHAR);    CREATE TABLE Theme(theme_id INT, teacher_id INT, name VARCHAR); What did the DBA do?",FALSE,1,they updated the indexes,UnChecked,1,1,
1,1,firstname1,lastname1,1,01/01/2024 00:00,01/01/2024 00:00,,5,MC,,"The database administrator (DBA) executes the following SQL commands:     CREATE TABLE Teacher(teacher_id INT, name VARCHAR);    CREATE TABLE Theme(theme_id INT, teacher_id INT, name VARCHAR); What did the DBA do?",FALSE,1,they updated the statistics,UnChecked,1,1,
