Org Defined ID,Attempt #,Q #,Query,Grade,Out Of,Feedback
666,1,5,"""INSERT INTO Book (isbn, title, author) VALUES ('9781292025827', 'Database Systems', 'Jennifer Widom');   INSERT INTO Copy (isbn, serial_number, weight, bookcase) VALUES      ('9781292025827', 1, 200, 81),     ('9781292025827', 2, 200, 81);   DELETE FROM Book  WHERE isbn = '9781292025827';   SELECT * FROM Copy;""",0.2,1,"""1️⃣ Goal:
The query is supposed to:
 ● Delete rows from 'book' where isbn = 1292025824.

2️⃣ Correct Clauses:
✅ Target table

3️⃣ Issues found in the following sections:
❌ WHERE clause

❗ Problem Details:
● Operands mismatch in condition 'isbn = 1292025824'.
● Expected operands: 'isbn' and '1292025824'.
● Found operands: 'isbn' and '9781292025827'.

4️⃣ Next steps:
💡 Review your WHERE clause conditions to match the specified requirements.
Extra InsertStmt statement.
Extra InsertStmt statement.
Extra SelectStmt statement.
"""
667,1,5,DELETE FROM Copy WHERE isbn = 9781292025827;,0.05714285714285714,1,"""1️⃣ Goal:
The query is supposed to:
 ● Delete rows from 'book' where isbn = 1292025824.

2️⃣ Correct Clauses:
● None.

3️⃣ Issues found in the following sections:
❌ Target table
❌ WHERE clause

❗ Problem Details:
● The DELETE statement should target table 'book', but your query targets 'copy'.
● Operands mismatch in condition 'isbn = 1292025824'.
● Expected operands: 'isbn' and '1292025824'.
● Found operands: 'isbn' and '9781292025827'.

4️⃣ Next steps:
💡 Please change the target table to 'book'.
💡 Review your WHERE clause conditions to match the specified requirements.
"""
668,1,5,DELETE FROM Book WHERE isbn='9781292025827';   SELECT * FROM Copy WHERE isbn =  '9781292025827';,0.3142857142857143,1,"""1️⃣ Goal:
The query is supposed to:
 ● Delete rows from 'book' where isbn = 1292025824.

2️⃣ Correct Clauses:
✅ Target table

3️⃣ Issues found in the following sections:
❌ WHERE clause

❗ Problem Details:
● Operands mismatch in condition 'isbn = 1292025824'.
● Expected operands: 'isbn' and '1292025824'.
● Found operands: 'isbn' and '9781292025827'.

4️⃣ Next steps:
💡 Review your WHERE clause conditions to match the specified requirements.
Extra SelectStmt statement.
"""
669,1,5,DELETE FROM Book WHERE isbn='1234567891012';,0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to:
 ● Delete rows from 'book' where isbn = 1292025824.

2️⃣ Correct Clauses:
✅ Target table

3️⃣ Issues found in the following sections:
❌ WHERE clause

❗ Problem Details:
● Operands mismatch in condition 'isbn = 1292025824'.
● Expected operands: 'isbn' and '1292025824'.
● Found operands: 'isbn' and '1234567891012'.

4️⃣ Next steps:
💡 Review your WHERE clause conditions to match the specified requirements.
"""
670,1,5,DELETE FROM Book WHERE isbn = '9781292025820';,0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'DELETE FROM Book WHERE isbn = '1292025824';'?
"""
671,1,5,DELETE FROM Book WHERE isbn = '9781292025827';,0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'DELETE FROM Book WHERE isbn = '1292025824';'?
"""
672,1,5,DELETE FROM Book WHERE isbn = 'a';,0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to:
 ● Delete rows from 'book' where isbn = 1292025824.

2️⃣ Correct Clauses:
✅ Target table

3️⃣ Issues found in the following sections:
❌ WHERE clause

❗ Problem Details:
● Operands mismatch in condition 'isbn = 1292025824'.
● Expected operands: 'isbn' and '1292025824'.
● Found operands: 'isbn' and 'a'.

4️⃣ Next steps:
💡 Review your WHERE clause conditions to match the specified requirements.
"""
673,1,5,DELETE FROM Book WHERE isbn = '9781292025827';,0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'DELETE FROM Book WHERE isbn = '9781292025827';'?
"""
674,1,5,DELETE FROM Book WHERE isbn = '9781292025827';,0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'DELETE FROM Book WHERE isbn = '9781292025827';'?
"""
675,1,5,DELETE FROM Book WHERE isbn = '9781292025827';,0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'DELETE FROM Book WHERE isbn = '9781292025827';'?
"""
